Zip,NumTotal,NumRetired,NumDisabled,NumWidowerorParent,NumSpouses,NumChildren,BenTotal,BenRetired,BenWidowerorParent,NumSeniors
"75491",945,625,160,60,40,60,1090,772,75,655
"75492",180,130,20,10,10,10,192,149,11,140
"75495",1330,935,160,95,60,80,1580,1178,117,980
"76233",685,450,95,55,45,40,728,515,60,485
"76238",110,75,15,10,5,5,132,90,15,80
"76240",4980,3360,655,435,225,305,5578,4058,495,3710
"76241",420,285,65,35,10,25,477,352,37,295
"76245",660,445,110,55,20,30,754,543,59,480
"76250",165,120,10,15,5,15,192,155,16,130
"76252",525,370,30,75,20,30,635,468,95,445
"76253",40,20,15,5,0,0,46,26,3,25
"76263",25,15,0,5,0,5,31,22,3,20
"76264",325,225,55,15,10,20,367,267,19,220
"76268",65,40,15,5,0,5,74,50,7,45
"76271",250,175,30,20,10,15,290,211,26,185
"76272",870,575,135,60,40,60,1016,721,70,580
"76273",1980,1310,265,165,100,140,2180,1561,186,1440
"76436",75,50,10,5,5,5,80,56,11,50
"76457",890,615,100,70,45,60,940,696,80,680
"76501",3120,1770,665,270,125,290,3006,1873,271,1935
"76502",5395,3620,660,485,285,345,6078,4376,570,4020
"76503",445,200,130,30,15,70,434,246,23,220
"76504",3820,2110,860,395,140,315,3774,2281,414,2425
"76505",220,150,30,10,10,20,230,170,11,165
"76511",455,285,60,45,15,50,433,291,49,320
"76513",5680,3520,890,490,280,500,5914,4019,524,3850
"76518",295,175,45,25,25,25,292,193,25,200
"76519",140,95,20,10,10,5,142,102,9,105
"76520",1935,1210,290,210,100,125,1982,1340,208,1365
"76522",4955,2365,1050,490,320,730,4651,2527,515,2790
"76523",50,30,10,0,5,5,58,37,0,30
"76525",245,160,30,30,15,10,243,169,29,185
"76526",30,15,10,0,5,0,30,19,0,15
"76528",3190,2035,505,280,135,235,3202,2177,286,2215
"76531",1380,970,160,120,70,60,1446,1076,121,1070
"76533",60,35,10,5,5,5,65,39,5,35
"76534",490,320,70,45,20,35,501,347,49,355
"76538",205,145,25,10,15,10,217,163,11,150
"76539",1410,815,235,115,95,150,1438,911,121,900
"76540",230,95,65,25,10,35,207,103,28,120
"76541",2495,1210,575,305,160,245,2234,1205,299,1480
"76542",3765,1665,925,255,220,700,3580,1823,255,1840
"76543",3475,1575,845,330,190,535,3200,1671,316,1810
"76544",525,40,190,15,5,275,345,34,13,35
"76547",170,75,55,10,5,25,162,77,12,70
"76548",3090,1575,640,265,175,435,3113,1796,273,1760
"76549",3610,1295,1025,265,195,830,3223,1369,254,1465
"76550",2610,1695,345,265,140,165,2672,1851,286,1920
"76554",365,210,65,25,15,50,354,223,28,220
"76556",370,235,45,30,30,30,410,289,31,260
"76558",25,15,5,5,0,0,21,16,2,20
"76559",570,275,150,45,20,80,554,297,41,280
"76561",215,145,30,20,5,15,232,163,23,155
"76564",40,20,15,0,0,5,43,22,0,20
"76565",45,40,0,0,5,0,55,50,0,40
"76566",90,55,20,5,5,5,98,65,6,65
"76567",2055,1190,310,215,175,165,2250,1443,243,1425
"76569",475,270,90,45,20,50,496,304,47,315
"76571",1435,1080,110,95,90,60,1739,1376,119,1175
"76577",660,410,75,80,40,55,721,485,92,485
"76579",730,440,120,55,40,75,754,491,57,470
"76853",425,265,50,50,25,35,423,289,55,310
"77857",190,125,25,25,10,5,210,147,22,150
"75501",6795,3575,1625,575,215,805,6478,3777,557,3910
"75503",4515,2850,610,430,215,410,5050,3452,528,3220
"75504",295,150,75,30,0,40,309,179,33,160
"75505",605,295,155,45,20,90,553,316,46,320
"75551",2785,1655,470,275,155,230,2936,1916,302,1875
"75555",380,220,65,35,15,45,394,248,41,245
"75556",315,160,65,35,20,35,327,191,32,195
"75559",1460,850,270,170,70,100,1351,824,157,990
"75560",290,150,65,30,15,30,280,164,28,175
"75561",1140,615,230,105,65,125,1011,586,95,700
"75562",45,25,15,5,0,0,51,26,6,25
"75563",1135,675,210,115,50,85,1164,741,116,765
"75565",130,55,30,15,5,25,132,69,17,65
